match_id,league_id,season,match_date,home_team_id,away_team_id,home_score,away_score,stadium,match_status,attendance
63,1,2021-2022,2022-06-29,1,3,2,2,Stadium 1-1,Completed,44802
64,1,2023-2024,2022-07-18,4,1,0,0,Stadium 1-4,Completed,16753
65,1,2020-2021,2023-10-05,3,4,2,0,Stadium 1-3,Completed,52232
66,1,2023-2024,2023-02-02,3,8,2,3,Stadium 1-3,Scheduled,44685
67,1,2021-2022,2022-04-24,8,2,0,4,Stadium 1-8,Completed,74593
68,1,2022-2023,2023-02-07,8,6,1,2,Stadium 1-8,Completed,20320
69,1,2023-2024,2022-06-09,7,4,2,1,Stadium 1-7,Completed,6310
70,1,2022-2023,2021-07-22,3,2,3,3,Stadium 1-3,Completed,69543
71,1,2022-2023,2021-11-13,2,8,1,3,Stadium 1-2,Scheduled,10898
72,1,2022-2023,2021-09-27,5,2,2,1,Stadium 1-5,Completed,8728
73,1,2021-2022,2022-05-13,3,8,2,4,Stadium 1-3,Completed,45582
74,1,2020-2021,2021-06-16,8,5,2,0,Stadium 1-8,Completed,61069
75,1,2023-2024,2021-12-24,7,4,0,3,Stadium 1-7,Completed,67714
76,1,2020-2021,2022-03-15,8,5,5,0,Stadium 1-8,Completed,47664
77,1,2022-2023,2022-08-08,5,3,0,4,Stadium 1-5,Scheduled,64321
78,1,2020-2021,2022-05-08,8,5,4,5,Stadium 1-8,Scheduled,54024
79,1,2021-2022,2021-03-03,2,8,5,5,Stadium 1-2,Completed,16845
80,1,2023-2024,2022-11-15,3,2,5,4,Stadium 1-3,Completed,9959
81,1,2021-2022,2022-10-17,7,6,4,4,Stadium 1-7,Completed,38613
82,1,2022-2023,2024-02-25,3,4,5,2,Stadium 1-3,Completed,68053
83,1,2023-2024,2024-02-11,1,3,5,1,Stadium 1-1,Scheduled,5487
84,1,2021-2022,2023-02-03,2,7,1,2,Stadium 1-2,Completed,6962
85,1,2023-2024,2021-10-08,1,5,5,0,Stadium 1-1,Completed,78964
86,1,2020-2021,2021-12-23,7,3,0,1,Stadium 1-7,Scheduled,52610
87,1,2023-2024,2023-11-01,5,6,0,1,Stadium 1-5,Completed,26979
88,1,2023-2024,2024-01-27,2,6,2,2,Stadium 1-2,Scheduled,67394
89,1,2020-2021,2021-02-12,5,3,5,4,Stadium 1-5,Completed,13095
90,1,2020-2021,2021-02-09,7,2,4,4,Stadium 1-7,Completed,77086
91,1,2021-2022,2023-08-03,3,2,4,4,Stadium 1-3,Completed,25025
92,1,2021-2022,2020-11-16,8,3,2,0,Stadium 1-8,Completed,60551
93,1,2022-2023,2024-02-12,7,1,2,5,Stadium 1-7,Scheduled,64599
94,1,2023-2024,2024-05-20,8,4,0,5,Stadium 1-8,Scheduled,28939
95,1,2022-2023,2021-06-25,2,3,1,1,Stadium 1-2,Scheduled,53715
96,1,2021-2022,2024-03-30,5,4,0,1,Stadium 1-5,Completed,24794
97,1,2021-2022,2023-04-30,4,5,0,3,Stadium 1-4,Completed,71386
98,1,2020-2021,2021-12-09,2,5,5,5,Stadium 1-2,Completed,78816
99,1,2020-2021,2023-12-27,2,1,3,3,Stadium 1-2,Completed,47723
100,1,2021-2022,2021-03-18,8,5,1,5,Stadium 1-8,Completed,79280
101,1,2022-2023,2024-04-25,2,8,1,1,Stadium 1-2,Scheduled,6839
102,1,2021-2022,2020-11-12,8,1,4,1,Stadium 1-8,Completed,71906
103,1,2023-2024,2023-02-22,1,5,5,3,Stadium 1-1,Completed,39407
104,1,2020-2021,2023-02-18,1,4,3,0,Stadium 1-1,Scheduled,64140
105,1,2020-2021,2020-09-23,5,7,0,5,Stadium 1-5,Scheduled,75591
106,1,2023-2024,2023-10-19,6,4,5,4,Stadium 1-6,Scheduled,47163
107,1,2021-2022,2023-02-03,5,1,1,5,Stadium 1-5,Scheduled,58937
108,1,2020-2021,2022-03-20,5,3,2,1,Stadium 1-5,Completed,65291
109,1,2022-2023,2022-08-13,7,3,1,4,Stadium 1-7,Completed,31050
110,1,2021-2022,2024-03-03,4,6,0,1,Stadium 1-4,Completed,12342
111,1,2022-2023,2021-08-30,7,5,5,4,Stadium 1-7,Scheduled,64940
112,1,2023-2024,2020-11-17,5,7,0,3,Stadium 1-5,Completed,70923
113,1,2023-2024,2022-04-04,4,2,5,3,Stadium 1-4,Completed,39252
114,1,2023-2024,2022-08-04,6,1,3,3,Stadium 1-6,Completed,69569
115,1,2021-2022,2021-05-29,5,2,4,5,Stadium 1-5,Completed,17993
116,1,2023-2024,2024-03-15,3,8,5,2,Stadium 1-3,Completed,69313
117,1,2022-2023,2023-06-25,7,4,4,0,Stadium 1-7,Completed,13295
118,1,2020-2021,2022-02-15,5,7,1,0,Stadium 1-5,Completed,30907
119,1,2021-2022,2022-01-13,7,8,4,5,Stadium 1-7,Completed,46041
120,1,2022-2023,2021-08-16,7,4,3,2,Stadium 1-7,Completed,11699
121,1,2022-2023,2022-02-14,8,3,4,5,Stadium 1-8,Completed,51921
122,1,2020-2021,2022-07-07,2,7,3,2,Stadium 1-2,Scheduled,5985
123,1,2021-2022,2023-07-20,4,6,1,1,Stadium 1-4,Scheduled,75609
124,1,2020-2021,2021-03-19,1,8,4,1,Stadium 1-1,Completed,24735
125,1,2022-2023,2023-11-03,8,6,3,1,Stadium 1-8,Scheduled,42714
126,1,2023-2024,2020-10-09,8,5,1,0,Stadium 1-8,Completed,19317
127,1,2023-2024,2023-01-05,4,2,2,0,Stadium 1-4,Completed,76422
128,1,2021-2022,2022-03-30,2,8,3,1,Stadium 1-2,Scheduled,40476
129,1,2020-2021,2022-04-19,3,6,5,4,Stadium 1-3,Completed,67116
130,1,2020-2021,2022-05-08,1,2,4,2,Stadium 1-1,Completed,79228
131,1,2020-2021,2021-05-15,2,7,5,4,Stadium 1-2,Scheduled,31913
132,1,2023-2024,2021-03-10,6,3,3,0,Stadium 1-6,Completed,53691
133,1,2021-2022,2021-02-28,2,4,3,0,Stadium 1-2,Completed,76914
134,1,2021-2022,2023-10-11,6,8,5,4,Stadium 1-6,Completed,18592
135,1,2023-2024,2023-09-13,6,2,1,3,Stadium 1-6,Scheduled,29215
136,1,2021-2022,2023-01-17,3,8,0,1,Stadium 1-3,Scheduled,65023
137,1,2021-2022,2021-12-05,3,4,1,5,Stadium 1-3,Completed,69105
138,1,2022-2023,2023-06-07,3,5,2,5,Stadium 1-3,Scheduled,55569
139,1,2021-2022,2021-03-06,6,7,3,1,Stadium 1-6,Completed,58240
140,1,2022-2023,2022-06-03,2,3,3,0,Stadium 1-2,Scheduled,25038
141,1,2020-2021,2022-07-23,3,8,1,5,Stadium 1-3,Completed,56892
142,1,2020-2021,2022-09-09,7,5,0,2,Stadium 1-7,Completed,48998
143,1,2020-2021,2021-05-12,6,3,5,4,Stadium 1-6,Completed,22259
144,1,2021-2022,2020-11-05,6,7,0,4,Stadium 1-6,Scheduled,27325
145,1,2022-2023,2022-05-02,6,2,1,5,Stadium 1-6,Scheduled,16230
146,1,2023-2024,2024-05-21,2,4,4,4,Stadium 1-2,Completed,57731
147,1,2022-2023,2024-04-06,4,5,3,3,Stadium 1-4,Scheduled,72901
148,1,2020-2021,2021-12-26,7,2,5,2,Stadium 1-7,Completed,32573
149,1,2022-2023,2020-10-10,3,8,4,3,Stadium 1-3,Completed,68551
150,1,2023-2024,2023-06-25,6,2,0,3,Stadium 1-6,Completed,8893
151,1,2021-2022,2021-06-16,2,3,5,1,Stadium 1-2,Completed,43554
152,1,2020-2021,2023-11-07,3,1,2,5,Stadium 1-3,Completed,44163
153,1,2023-2024,2022-05-22,4,7,1,3,Stadium 1-4,Completed,24043
154,1,2023-2024,2021-08-20,2,5,1,1,Stadium 1-2,Completed,8531
155,1,2023-2024,2023-08-11,2,6,2,2,Stadium 1-2,Completed,40909
156,1,2020-2021,2023-07-28,2,3,4,0,Stadium 1-2,Completed,60122
157,1,2020-2021,2024-05-02,3,5,2,0,Stadium 1-3,Scheduled,66890
158,1,2023-2024,2022-01-31,3,4,0,1,Stadium 1-3,Completed,31666
159,1,2022-2023,2021-02-10,7,8,4,5,Stadium 1-7,Completed,34288
160,1,2022-2023,2021-10-01,3,1,0,5,Stadium 1-3,Completed,49097
161,1,2022-2023,2021-04-17,2,8,1,1,Stadium 1-2,Scheduled,7698
162,1,2023-2024,2022-01-08,5,3,0,5,Stadium 1-5,Completed,57501
163,1,2022-2023,2021-05-31,4,3,2,4,Stadium 1-4,Completed,64898
164,1,2023-2024,2020-10-17,1,7,3,5,Stadium 1-1,Scheduled,44725
165,1,2023-2024,2023-03-19,6,3,3,4,Stadium 1-6,Scheduled,40616
166,1,2020-2021,2023-06-23,7,1,2,2,Stadium 1-7,Completed,64571
167,1,2023-2024,2023-05-24,7,1,0,3,Stadium 1-7,Completed,69786
168,1,2021-2022,2023-06-07,7,1,2,3,Stadium 1-7,Completed,8452
169,1,2023-2024,2021-09-05,1,8,2,2,Stadium 1-1,Completed,18686
170,1,2023-2024,2023-12-10,4,6,0,3,Stadium 1-4,Completed,77286
171,1,2022-2023,2022-10-23,7,4,3,4,Stadium 1-7,Completed,30107
172,1,2021-2022,2023-07-27,5,4,5,5,Stadium 1-5,Completed,5615
173,1,2021-2022,2020-08-28,2,1,2,5,Stadium 1-2,Completed,48218
174,1,2023-2024,2023-12-28,7,1,1,0,Stadium 1-7,Completed,51445
175,1,2022-2023,2022-10-22,2,8,5,2,Stadium 1-2,Completed,65563
176,1,2020-2021,2022-04-27,5,6,5,4,Stadium 1-5,Completed,54469
177,1,2021-2022,2022-12-03,3,4,0,0,Stadium 1-3,Completed,78250
178,1,2022-2023,2022-03-10,3,1,0,0,Stadium 1-3,Completed,68265
179,1,2021-2022,2021-12-15,8,7,0,1,Stadium 1-8,Completed,77693
180,1,2022-2023,2021-07-27,7,3,5,2,Stadium 1-7,Scheduled,49343
181,1,2021-2022,2021-11-17,5,4,2,0,Stadium 1-5,Completed,70198
182,1,2022-2023,2020-09-22,2,6,2,5,Stadium 1-2,Completed,26684
183,1,2023-2024,2021-04-11,7,3,5,5,Stadium 1-7,Completed,61861
184,1,2020-2021,2020-10-27,4,1,3,1,Stadium 1-4,Completed,16425
185,1,2020-2021,2021-07-23,3,4,4,1,Stadium 1-3,Completed,79632
186,1,2020-2021,2023-05-25,3,8,3,5,Stadium 1-3,Completed,33637
187,1,2023-2024,2021-08-11,6,4,5,1,Stadium 1-6,Completed,14182
188,1,2020-2021,2021-10-31,6,5,4,2,Stadium 1-6,Completed,6297
189,1,2022-2023,2023-11-18,7,2,0,0,Stadium 1-7,Completed,8201
190,1,2023-2024,2023-09-23,3,1,2,4,Stadium 1-3,Completed,44312
191,1,2021-2022,2024-01-21,4,6,3,3,Stadium 1-4,Completed,21840
192,1,2023-2024,2023-11-21,7,6,3,0,Stadium 1-7,Completed,10838
193,1,2020-2021,2023-03-16,7,5,4,4,Stadium 1-7,Completed,65264
194,1,2023-2024,2023-01-19,2,3,5,3,Stadium 1-2,Scheduled,15554
195,1,2023-2024,2022-05-09,4,1,1,1,Stadium 1-4,Completed,22210
196,1,2022-2023,2023-06-28,8,2,0,5,Stadium 1-8,Completed,23999
197,1,2020-2021,2024-01-14,3,4,2,5,Stadium 1-3,Completed,76852
198,1,2021-2022,2024-03-22,4,1,4,1,Stadium 1-4,Scheduled,5947
199,1,2023-2024,2020-12-05,6,3,3,4,Stadium 1-6,Completed,12101
200,1,2023-2024,2022-05-14,8,5,0,5,Stadium 1-8,Completed,68747
201,1,2023-2024,2023-11-22,1,4,2,2,Stadium 1-1,Completed,74106
202,1,2022-2023,2022-02-01,6,1,1,5,Stadium 1-6,Completed,70729
203,1,2020-2021,2021-04-11,6,8,1,3,Stadium 1-6,Completed,39706
204,1,2022-2023,2020-08-15,1,6,3,0,Stadium 1-1,Completed,10826
205,1,2022-2023,2022-05-12,2,5,2,5,Stadium 1-2,Completed,54756
206,1,2021-2022,2021-01-29,3,2,1,4,Stadium 1-3,Scheduled,41130
207,1,2023-2024,2023-03-15,3,1,4,0,Stadium 1-3,Completed,21043
208,1,2020-2021,2023-02-05,7,1,4,5,Stadium 1-7,Scheduled,50330
209,1,2020-2021,2024-03-05,8,1,2,5,Stadium 1-8,Completed,33717
210,1,2021-2022,2021-05-29,3,2,5,5,Stadium 1-3,Scheduled,57385
211,1,2023-2024,2024-04-15,3,2,3,1,Stadium 1-3,Scheduled,23408
212,1,2021-2022,2023-01-26,8,5,4,4,Stadium 1-8,Completed,35130
213,1,2022-2023,2020-12-28,5,3,3,3,Stadium 1-5,Completed,71560
214,1,2023-2024,2022-10-28,7,6,2,5,Stadium 1-7,Completed,12155
215,1,2020-2021,2024-01-10,7,1,3,1,Stadium 1-7,Completed,51660
216,1,2021-2022,2021-06-01,8,6,2,4,Stadium 1-8,Completed,8134
217,1,2021-2022,2021-01-09,7,2,3,0,Stadium 1-7,Completed,22794
218,1,2023-2024,2021-11-01,8,6,0,2,Stadium 1-8,Completed,54834
219,1,2022-2023,2022-10-21,8,4,0,2,Stadium 1-8,Completed,73256
220,1,2021-2022,2022-07-30,1,3,5,1,Stadium 1-1,Completed,38260
221,1,2022-2023,2022-10-26,8,7,0,4,Stadium 1-8,Completed,41487
222,1,2021-2022,2023-03-25,4,3,2,3,Stadium 1-4,Completed,31491
223,1,2023-2024,2021-07-08,5,6,3,1,Stadium 1-5,Completed,51948
224,1,2020-2021,2022-12-20,1,2,5,5,Stadium 1-1,Completed,79237
225,1,2020-2021,2020-08-20,7,1,2,2,Stadium 1-7,Scheduled,49918
226,1,2021-2022,2023-12-19,1,6,1,4,Stadium 1-1,Completed,71432
227,1,2020-2021,2022-12-08,8,7,0,0,Stadium 1-8,Completed,29137
228,1,2020-2021,2022-04-04,3,2,2,3,Stadium 1-3,Completed,73437
229,1,2020-2021,2023-05-11,2,6,1,3,Stadium 1-2,Completed,56557
230,1,2023-2024,2022-09-06,5,4,1,5,Stadium 1-5,Completed,6099
231,1,2022-2023,2024-05-11,7,3,2,0,Stadium 1-7,Scheduled,7989
232,1,2021-2022,2023-02-25,2,7,4,4,Stadium 1-2,Scheduled,5718
233,1,2020-2021,2022-09-02,7,4,2,3,Stadium 1-7,Completed,34809
234,1,2022-2023,2021-08-16,7,1,4,2,Stadium 1-7,Completed,20227
235,1,2022-2023,2022-03-11,8,6,4,1,Stadium 1-8,Scheduled,9696
236,1,2022-2023,2023-05-03,6,8,2,0,Stadium 1-6,Scheduled,52464
237,1,2022-2023,2024-02-11,7,8,1,4,Stadium 1-7,Completed,15743
238,1,2023-2024,2022-12-31,8,6,0,3,Stadium 1-8,Completed,77625
239,1,2023-2024,2024-03-26,3,5,3,2,Stadium 1-3,Completed,28344
240,1,2023-2024,2022-10-12,1,2,3,1,Stadium 1-1,Completed,44955
241,1,2023-2024,2024-03-24,5,7,1,1,Stadium 1-5,Completed,53714
242,1,2020-2021,2021-12-14,4,3,3,0,Stadium 1-4,Completed,52559
243,1,2023-2024,2022-01-15,7,2,3,2,Stadium 1-7,Completed,52913
244,1,2020-2021,2024-04-04,8,6,3,0,Stadium 1-8,Completed,16149
245,1,2020-2021,2021-03-04,3,2,1,0,Stadium 1-3,Completed,67818
246,1,2020-2021,2021-02-08,5,1,2,3,Stadium 1-5,Completed,73273
247,1,2022-2023,2023-02-21,3,7,2,4,Stadium 1-3,Completed,29148
248,1,2021-2022,2023-08-24,1,8,2,0,Stadium 1-1,Completed,61109
249,1,2021-2022,2024-02-29,6,3,5,4,Stadium 1-6,Completed,55966
250,1,2023-2024,2024-05-17,1,5,2,0,Stadium 1-1,Completed,27966
251,1,2022-2023,2023-01-31,1,4,4,1,Stadium 1-1,Completed,41862
252,1,2023-2024,2023-10-21,6,4,2,4,Stadium 1-6,Completed,76238
253,1,2022-2023,2023-07-29,2,4,4,4,Stadium 1-2,Completed,71532
254,1,2023-2024,2020-12-03,8,4,3,1,Stadium 1-8,Completed,64130
255,1,2022-2023,2021-03-15,8,1,1,2,Stadium 1-8,Completed,79464
256,1,2020-2021,2021-03-07,6,7,4,0,Stadium 1-6,Scheduled,45424
257,1,2023-2024,2020-10-22,5,8,0,4,Stadium 1-5,Completed,29891
258,1,2020-2021,2022-02-02,5,8,4,1,Stadium 1-5,Completed,28611
259,1,2021-2022,2021-12-23,2,8,4,5,Stadium 1-2,Scheduled,76883
260,1,2022-2023,2021-04-25,8,4,2,0,Stadium 1-8,Completed,60826
261,1,2022-2023,2020-09-21,3,5,0,5,Stadium 1-3,Completed,51558
262,1,2022-2023,2023-11-06,2,7,1,2,Stadium 1-2,Completed,8061
263,1,2022-2023,2022-07-21,1,5,0,0,Stadium 1-1,Completed,11274
264,1,2022-2023,2022-12-16,1,7,3,4,Stadium 1-1,Scheduled,33762
265,1,2022-2023,2022-09-25,3,7,0,3,Stadium 1-3,Completed,7562
266,1,2023-2024,2022-07-27,8,7,0,1,Stadium 1-8,Completed,67959
267,1,2023-2024,2024-02-02,3,4,3,4,Stadium 1-3,Completed,40943
268,1,2023-2024,2021-01-18,7,5,5,4,Stadium 1-7,Completed,28368
269,1,2020-2021,2021-12-18,7,3,4,5,Stadium 1-7,Scheduled,39361
270,1,2020-2021,2023-05-09,3,2,3,2,Stadium 1-3,Completed,11541
271,1,2021-2022,2021-02-06,4,6,1,1,Stadium 1-4,Scheduled,63472
272,1,2020-2021,2024-03-22,1,4,2,4,Stadium 1-1,Completed,16321
273,1,2020-2021,2022-12-03,5,6,1,3,Stadium 1-5,Completed,55169
274,1,2023-2024,2023-05-07,4,5,2,0,Stadium 1-4,Scheduled,34046
275,1,2023-2024,2020-11-01,5,1,1,4,Stadium 1-5,Scheduled,33892
276,1,2022-2023,2022-10-26,4,8,2,2,Stadium 1-4,Completed,28638
277,1,2020-2021,2022-07-21,1,8,3,4,Stadium 1-1,Completed,15713
278,1,2023-2024,2022-09-24,1,5,4,5,Stadium 1-1,Scheduled,41312
279,1,2022-2023,2022-05-02,5,8,5,2,Stadium 1-5,Scheduled,47201
280,1,2022-2023,2023-11-30,6,8,0,0,Stadium 1-6,Completed,63411
281,1,2022-2023,2023-04-02,1,5,3,0,Stadium 1-1,Completed,23233
282,1,2023-2024,2021-05-14,8,4,5,2,Stadium 1-8,Completed,50621
283,1,2023-2024,2023-06-10,2,6,2,2,Stadium 1-2,Scheduled,53356
284,1,2021-2022,2023-03-04,5,2,2,0,Stadium 1-5,Completed,49005
285,1,2020-2021,2020-09-01,3,2,2,0,Stadium 1-3,Completed,23820
286,1,2023-2024,2023-09-23,5,6,0,0,Stadium 1-5,Scheduled,34375
287,1,2023-2024,2022-12-25,1,5,5,1,Stadium 1-1,Completed,31237
288,1,2020-2021,2023-01-09,7,2,2,0,Stadium 1-7,Completed,69793
289,1,2021-2022,2023-02-24,6,1,4,0,Stadium 1-6,Completed,55950
290,1,2020-2021,2021-09-15,3,6,3,5,Stadium 1-3,Completed,47963
291,1,2022-2023,2023-07-04,7,1,5,4,Stadium 1-7,Scheduled,53473
292,1,2023-2024,2021-03-17,2,8,5,1,Stadium 1-2,Completed,39585
293,1,2020-2021,2021-03-08,5,8,2,2,Stadium 1-5,Completed,42225
294,1,2021-2022,2023-06-01,1,4,3,4,Stadium 1-1,Completed,14189
295,1,2022-2023,2020-10-08,3,5,5,0,Stadium 1-3,Completed,22569
296,1,2022-2023,2022-02-14,5,3,3,2,Stadium 1-5,Completed,7221
297,1,2023-2024,2024-04-12,2,3,1,3,Stadium 1-2,Completed,47066
298,1,2022-2023,2022-07-04,7,6,2,4,Stadium 1-7,Scheduled,54973
299,1,2020-2021,2023-06-30,8,1,2,5,Stadium 1-8,Completed,9071
300,1,2022-2023,2021-09-05,6,8,0,0,Stadium 1-6,Completed,54593
301,1,2020-2021,2022-08-10,8,2,5,4,Stadium 1-8,Scheduled,72185
302,1,2021-2022,2022-01-16,8,3,3,4,Stadium 1-8,Completed,17641
303,1,2022-2023,2023-03-27,2,6,3,0,Stadium 1-2,Completed,66644
304,1,2022-2023,2022-12-03,7,4,2,0,Stadium 1-7,Completed,22074
305,1,2021-2022,2021-03-28,4,1,0,0,Stadium 1-4,Completed,35235
306,1,2020-2021,2021-04-16,7,5,2,3,Stadium 1-7,Completed,78801
307,1,2020-2021,2023-08-27,7,2,3,3,Stadium 1-7,Completed,11654
308,1,2020-2021,2024-01-29,7,2,3,5,Stadium 1-7,Completed,50329
309,1,2022-2023,2023-03-14,5,2,0,2,Stadium 1-5,Scheduled,52825
310,1,2023-2024,2024-03-20,8,2,2,3,Stadium 1-8,Completed,57399
311,1,2020-2021,2023-07-12,2,1,1,1,Stadium 1-2,Completed,41954
312,1,2022-2023,2021-07-03,5,4,1,1,Stadium 1-5,Completed,5597
313,1,2022-2023,2022-09-12,2,1,3,1,Stadium 1-2,Completed,63503
314,1,2022-2023,2020-10-28,2,7,5,2,Stadium 1-2,Scheduled,47994
315,1,2021-2022,2023-02-17,1,7,5,3,Stadium 1-1,Scheduled,11803
316,1,2023-2024,2022-04-17,1,7,4,3,Stadium 1-1,Completed,22674
317,1,2022-2023,2022-10-02,3,2,5,3,Stadium 1-3,Completed,61550
318,1,2021-2022,2021-08-25,3,2,1,2,Stadium 1-3,Completed,5052
319,1,2023-2024,2020-08-08,2,8,1,1,Stadium 1-2,Completed,8489
320,1,2022-2023,2022-11-28,8,2,4,3,Stadium 1-8,Scheduled,34711
321,1,2023-2024,2022-06-08,7,6,5,2,Stadium 1-7,Completed,6976
322,1,2023-2024,2021-06-29,2,1,0,0,Stadium 1-2,Completed,7544
323,1,2021-2022,2023-04-13,6,4,0,1,Stadium 1-6,Completed,49907
324,1,2020-2021,2023-12-28,4,8,0,2,Stadium 1-4,Completed,33635
325,1,2022-2023,2023-04-18,3,4,3,1,Stadium 1-3,Completed,36761
326,1,2020-2021,2023-07-23,5,6,0,1,Stadium 1-5,Completed,58767
327,1,2023-2024,2023-01-08,2,7,5,2,Stadium 1-2,Completed,54495
328,1,2020-2021,2021-08-05,6,1,5,2,Stadium 1-6,Completed,66716
329,1,2022-2023,2024-03-31,8,7,5,4,Stadium 1-8,Scheduled,51378
330,1,2021-2022,2020-12-08,2,7,3,5,Stadium 1-2,Completed,47796
331,1,2020-2021,2023-10-15,4,6,1,2,Stadium 1-4,Completed,22198
332,1,2020-2021,2022-08-07,7,4,0,0,Stadium 1-7,Completed,32140
333,1,2021-2022,2022-08-16,3,8,3,3,Stadium 1-3,Completed,5685
334,1,2020-2021,2021-09-30,8,3,3,0,Stadium 1-8,Completed,32835
335,1,2021-2022,2024-03-21,8,2,0,4,Stadium 1-8,Completed,72593
